title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
CLYDE FITTINGS.,,[Place of production not identified]  : ,1957,['(9.00 mins) : '],"Producer, Clyde Tube Forgings with assistance from the Industrial Panel of the Scottish Film Council.","Employment, Industry and Industrial Relations -- Glasgow -- Renfrewshire -- industrial -- promotional",The welding process and manufacture of pipe fittings are shown in the Clyde Tube Forgings on Hillington Industrial Estate.  ,"sound, colour",http://movingimage.nls.uk/film/0063
EMPIRE EXHIBITION.,,[Place of production not identified]  : ,1938,['(13.00 mins) : '],"Director, [filmed by Jimmy McKenzie and Joe McRobert].","British Empire, the -- Celebrations, Traditions and Customs -- Water and Waterways -- Glasgow -- amateur","Rare colour footage of the Empire Exhibition, Bellahouston Park, Glasgow and of the first major dancing water displays ever built. [see also ref. 7202]","silent, colour",http://movingimage.nls.uk/film/0065
"SAMSON STRIPPER: For Continuous Longwall Mining, the.",,[Place of production not identified]  : ,1952,['(14.00 mins) : '],"Director, d. William Larkins ; Producer, W. M. Larkins Studio (in association with the Film Producers Guild).","Employment, Industry and Industrial Relations -- Power Resources -- Science and Technology -- promotional -- technical","A demonstration of the Samson Stripper, a machine capable of stripping two tons of coal a minute, working at the coalface. ","sound, black and white",http://movingimage.nls.uk/film/0067
"LOGGING IN THE SUNDARABANS, EAST PAKISTAN.",,[Place of production not identified]  : ,1963,['(28 mins) : '],"Director, d. Elizabeth Balneaves and Stewart Johnston.","British Empire, the -- Employment, Industry and Industrial Relations -- Environment -- Royalty -- Tourism and Travel -- Transport -- sponsored -- women film makers",The story of the transport of logs from the forest areas of East Pakistan to the Khulna Newsprint Mill eighty miles up river. ,"mute, black and white",http://movingimage.nls.uk/film/0070
HESSIAN LOOM AND COP LOADER.,,[Place of production not identified]  : ,1950,['(9.00 mins) : '],"Credits: Made in association with Fairbairn, Lawson, Combe and Barbour Ltd, Willington Foundry, Leeds.   ph.  L.S. Gorrie.",Dundee -- technical,"Jute manufacture, Dundee.  Film looks at a hessian loom fitted with a shuttle loader and cop insertion.  Hessian loom in operation. ","silent, black and white",http://movingimage.nls.uk/film/0071
"VISIT TO MAVOR AND COULSON, a.","RUSSELL, Stanley Livingstone",[Place of production not identified]  : ,1950,['(19.50 mins) : '],"Director, d. Stanley L. Russell ; Producer, Thames and Clyde.","Employment, Industry and Industrial Relations -- Science and Technology -- Glasgow -- promotional","A tour of the Mavor and Coulson Bridgeton works, Glasgow, ","sound, black and white",http://movingimage.nls.uk/film/0072
MULTI-JIB CUTTING AND LOADING IN THIN COKING COALS.,,[Place of production not identified]  : ,1955,['(16.00 mins) : '],,"Employment, Industry and Industrial Relations -- Power Resources -- Science and Technology -- industrial -- promotional",Demonstration of Mavor and Coulson coal cutting and loading machine.  ,"sound, black and white",http://movingimage.nls.uk/film/0073
"GROWTH OF AN INDUSTRY, the.",,[Place of production not identified]  : ,1953,['(11.00 mins) : '],,sponsored -- promotional,"A demonstration of the production and testing of new cash registers at the NCR (National Cash Registers) factory at Camperdown, Dundee. [Incomplete]","sound, black and white/colour",http://movingimage.nls.uk/film/0075
REPORT ON INDUSTRIAL SCOTLAND.,,[Place of production not identified]  : ,1948,['(8 mins) : '],"Producer, Crown Film Unit.","Employment, Industry and Industrial Relations -- Paddle Steamers -- Ships and Shipping -- Dunbartonshire -- Glasgow -- Renfrewshire","A view of the industrial central belt of Scotland, including shipyards, factories and industrial estates.","sound, black and white",http://movingimage.nls.uk/film/0077
CANALS IN SCOTLAND.,,[Place of production not identified]  : ,1938,['(9.30 mins) : '],"Producer, SEFA (Glasgow Group).",Canals -- Carriages -- Fish and Fishing -- Paddle Steamers -- Ships and Shipping -- Transport -- Water and Waterways -- educational,"Scotland's three canals, the Crinan, Caledonian, and Forth and Clyde are shown in operation. ","silent, black and white",http://movingimage.nls.uk/film/0079
